Group_AutoCorr,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
AutoCorr_G01,1.5582,0.6235,0.7673,-0.8733
AutoCorr_G02,1.5533,3.0264,2.0778,-1.7134
AutoCorr_G03,3.1646,0.9372,2.1357,-0.9104
HML,1.6063,0.3138,1.3684,-0.0371
t,1.58,0.2427,1.2982,-0.0144
p,0.1581,0.8201,0.2354,0.9886
