Group_Beta_abs_intra,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
Beta_abs_intra_G01,3.597,1.951,3.1242,-3.9099
Beta_abs_intra_G02,2.7785,2.8721,2.7539,0.8266
Beta_abs_intra_G03,0.3821,2.2207,0.4759,-2.6132
HML,-3.2149,0.2697,-2.6483,1.2966
t,-3.9324,0.1352,-2.0703,0.4295
p,0.0057,0.899,0.0772,0.6717
