Group_Beta_abs_intra,MIN_G01,MIN_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.2028,4.0155,2.696,4.9579
Beta_abs_intra_G02,1.6272,0.6541,1.0936,-3.323
Beta_abs_intra_G03,2.4758,0.5924,1.4321,1.5901
HML,0.2729,-3.4231,-1.2638,-3.3678
t,0.3502,-4.1737,-1.886,-4.1636
p,0.7365,0.014,0.1013,0.0004
