Group_Square,BM_G01,BM_G03,AvgRet,Alpha
Square_G01,1.3372,1.9427,1.4952,-0.2159
Square_G02,2.1028,3.1419,2.0946,0.1258
Square_G03,0.7504,2.8194,1.2125,-0.5756
HML,-0.5868,0.8767,-0.2827,-0.3598
t,-0.3063,0.7531,-0.2018,-0.1417
p,0.7683,0.4933,0.8458,0.8886
