Group_Square,CKT_G01,CKT_G03,AvgRet,Alpha
Square_G01,3.185,2.6885,2.5151,-1.7805
Square_G02,2.5361,1.2085,1.9955,-0.5311
Square_G03,0.413,3.6614,0.8293,0.3968
HML,-2.772,0.9729,-1.6858,2.1774
t,-2.4619,0.55,-1.7007,0.7006
p,0.0433,0.6116,0.1328,0.4909
