Group_BQ100,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
BQ100_G01,2.805,0.7151,2.0324,2.1572
BQ100_G02,1.4933,1.0591,1.085,-3.3507
BQ100_G03,1.9778,2.8129,1.8634,-2.3036
HML,-0.8272,2.0978,-0.169,-4.4609
t,-1.7323,0.8631,-0.2883,-2.6593
p,0.1268,0.4368,0.7815,0.0143
