Group_BQ100,CSK_G01,CSK_G03,AvgRet,Alpha
BQ100_G01,2.1333,2.2294,1.9292,-1.9561
BQ100_G02,2.8856,0.3514,1.9111,-1.2762
BQ100_G03,3.6953,2.3138,3.3178,-0.0206
HML,1.562,0.0843,1.3886,1.9355
t,0.7883,0.1023,0.9502,0.5563
p,0.4564,0.9235,0.3736,0.5836
