Group_Beta_abs_intra,beta_G01,beta_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.2122,1.0827,1.6009,-2.0468
Beta_abs_intra_G02,2.1572,0.6364,1.3219,-0.0713
Beta_abs_intra_G03,2.6065,-0.4835,1.4127,-0.5077
HML,0.3943,-1.5662,-0.1883,1.5392
t,0.761,-1.4003,-0.3041,1.004
p,0.4715,0.234,0.7699,0.3263
