Group_Square,REV_G01,REV_G03,AvgRet,Alpha
Square_G01,2.3831,2.348,2.0318,-0.3926
Square_G02,1.9479,3.4847,2.5776,-0.7619
Square_G03,3.9643,0.0845,2.9517,-0.3736
HML,1.5813,-2.2635,0.9199,0.019
t,1.3179,-2.1668,0.6496,0.0058
p,0.229,0.0962,0.5367,0.9954
