Group_Beta_abs_intra,IVOL_G01,IVOL_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.5688,2.3054,2.157,3.341
Beta_abs_intra_G02,0.7301,-0.0391,0.1461,0.1049
Beta_abs_intra_G03,1.0403,3.5983,2.1297,-1.5456
HML,-1.5285,1.2929,-0.0273,-4.8866
t,-0.925,0.4438,-0.0314,-3.3796
p,0.3857,0.6801,0.9758,0.0027
