Group_AutoCorr,IVOL_G01,IVOL_G03,AvgRet,Alpha
AutoCorr_G01,0.7168,0.7286,0.2566,1.5179
AutoCorr_G02,2.6587,1.1688,1.9696,0.0867
AutoCorr_G03,0.9636,3.9672,2.2066,0.2958
HML,0.2467,3.2387,1.95,-1.2222
t,0.2175,2.5295,1.6514,-0.3748
p,0.834,0.0647,0.1426,0.7114
