Group_BQ100,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
BQ100_G01,2.0164,2.2436,1.9698,0.2874
BQ100_G02,1.9143,3.2118,2.1376,-0.3872
BQ100_G03,2.827,1.5884,2.2466,-5.5967
HML,0.8106,-0.6551,0.2768,-5.884
t,0.3931,-0.2741,0.1666,-2.4592
p,0.706,0.7976,0.8724,0.0223
