Group_Square,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
Square_G01,1.9122,1.5482,1.6341,-2.623
Square_G02,1.0528,2.4673,1.7389,-1.3369
Square_G03,2.1952,2.2966,2.1001,-5.8737
HML,0.2829,0.7484,0.466,-3.2507
t,0.3846,0.7256,0.5663,-2.4176
p,0.7119,0.5083,0.5889,0.0244
