Group_AutoCorr,RSJ_G01,RSJ_G03,AvgRet,Alpha
AutoCorr_G01,2.3464,0.5505,1.6375,0.6654
AutoCorr_G02,2.4499,1.0129,1.9341,0.3428
AutoCorr_G03,3.7384,1.984,3.4955,-5.2995
HML,1.392,1.4335,1.858,-5.9649
t,1.4578,1.3294,2.8458,-4.6481
p,0.1883,0.2545,0.0248,0.0001
