Group_BQ100,MAX_G01,MAX_G03,AvgRet,Alpha
BQ100_G01,2.4825,3.7944,2.9206,-5.3586
BQ100_G02,1.2909,0.6765,1.3716,-1.826
BQ100_G03,2.6448,1.7886,2.1625,0.3618
HML,0.1623,-2.0058,-0.758,5.7204
t,0.0627,-1.0007,-0.4747,2.774
p,0.9518,0.3736,0.6494,0.0111
