Group_BQ100,MIN_G01,MIN_G03,AvgRet,Alpha
BQ100_G01,2.6045,2.862,2.6278,-0.3011
BQ100_G02,1.326,0.1726,0.754,-1.1993
BQ100_G03,2.3754,2.2274,1.84,4.7254
HML,-0.2291,-0.6347,-0.7878,5.0265
t,-0.2174,-0.2617,-0.8536,5.0675
p,0.8341,0.8065,0.4216,0.0
