Group_AutoCorr,beta_G01,beta_G03,AvgRet,Alpha
AutoCorr_G01,1.6626,0.0042,0.6781,0.1047
AutoCorr_G02,2.1487,0.2943,1.5217,-1.8201
AutoCorr_G03,3.1646,0.9372,2.1357,-0.9104
HML,1.5019,0.9331,1.4575,-1.0151
t,1.4214,0.5335,1.1375,-0.4376
p,0.1982,0.622,0.2928,0.6659
