Group_AutoCorr,BM_G01,BM_G03,AvgRet,Alpha
AutoCorr_G01,1.7503,3.3406,1.9275,1.076
AutoCorr_G02,1.18,0.1397,0.6813,-0.8738
AutoCorr_G03,1.2601,4.4237,2.1934,-0.868
HML,-0.4902,1.083,0.2659,-1.944
t,-0.3039,1.0892,0.2298,-3.0749
p,0.77,0.3373,0.8248,0.0055
