Group_BQ100,beta_G01,beta_G03,AvgRet,Alpha
BQ100_G01,2.8299,0.4604,1.9652,0.6586
BQ100_G02,2.0638,-0.7363,0.8092,-0.9388
BQ100_G03,2.0822,1.5116,1.5611,-2.3456
HML,-0.7477,1.0512,-0.4041,-3.0042
t,-1.608,0.8444,-1.3507,-1.8658
p,0.1519,0.446,0.2188,0.0755
