Group_BQ100,REV_G01,REV_G03,AvgRet,Alpha
BQ100_G01,2.3704,4.6042,2.7305,-0.6604
BQ100_G02,3.2517,1.0329,2.9503,-3.2754
BQ100_G03,2.6733,0.2801,1.8803,2.4077
HML,0.3029,-4.3241,-0.8502,3.0682
t,0.42,-2.316,-0.7739,0.8835
p,0.6871,0.0815,0.4643,0.3865
