Group_Square,ME_G01,ME_G03,AvgRet,Alpha
Square_G01,1.9471,2.2434,1.9183,0.0729
Square_G02,2.3669,2.6955,2.4591,-3.9396
Square_G03,1.6259,1.9315,1.5017,5.4003
HML,-0.3212,-0.3119,-0.4167,5.3275
t,-0.2062,-0.1535,-0.2998,5.5278
p,0.8425,0.8854,0.773,0.0
