Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.8609,1.9033,2.1515,1.0202,1.751,2.5441,2.0814,1.315,2.0767,2.0314,1.0483,0.8519,1.955
G02,1.4142,2.12,3.4318,1.1265,2.1588,2.0793,1.1535,2.7572,1.4961,2.2501,1.3841,0.8953,0.9039
G03,1.5271,1.8558,1.9778,2.2862,2.4442,1.8312,1.9868,3.0859,1.7671,2.7856,1.3439,3.0825,2.6141
HML,-0.3338,-0.0475,-0.1737,1.266,0.6931,-0.7129,-0.0946,1.7709,-0.3096,0.7541,0.2956,2.2306,0.6591
t,-0.7501,-0.0562,-0.2089,0.7541,0.5977,-0.3972,-0.089,1.3385,-0.3338,0.6306,0.4437,1.7207,0.3726
,,,,,,,,,,,,,
Alpha,2.8493***,2.8885,2.7791,0.8217,-4.0172***,4.3516*,4.2393***,-0.6945,0.4869,4.9857**,-3.6424*,-0.8219,-4.0703
Alpha_t,3.559,1.2642,1.3024,0.3266,-2.8282,1.9014,3.6213,-0.329,0.1665,2.1848,-1.9271,-0.4032,-1.4248
