Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.3739,2.7101,3.0436,2.157,3.1242,2.8464,2.437,3.4232,2.6245,2.8431,1.6343,1.9877,2.1925
G02,2.5777,2.5479,2.7598,0.055,2.7765,2.2699,1.0437,2.0216,2.0092,2.2009,1.1749,1.6373,2.3423
G03,0.8507,0.6212,1.7578,2.2208,0.4533,1.3383,1.741,1.7132,0.7063,2.0232,1.5263,1.3557,0.9382
HML,-0.5232,-2.0889**,-1.2857,0.0637,-2.6708*,-1.5081*,-0.696,-1.71,-1.9182*,-0.8199,-0.108,-0.632,-1.2543
t,-0.6831,-2.5643,-1.2295,0.0734,-2.0919,-2.3444,-1.2625,-1.0399,-1.9733,-0.6831,-0.1869,-0.941,-1.3145
,,,,,,,,,,,,,
Alpha,-3.1054,-3.5046,4.4504***,-5.3569***,1.2018,5.273***,-0.9907,0.8473,-5.3515*,3.007,0.9524,-0.2753,1.0128
Alpha_t,-1.6477,-1.6029,3.9255,-3.5886,0.4005,4.2763,-0.9699,0.4944,-2.0248,1.2181,0.6097,-0.1392,0.2798
