Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.8841,2.4717,3.4136,2.4376,3.1242,3.9015,2.1986,3.6456,2.6085,3.5575,1.5941,2.0762,2.2625
G02,1.9904,2.7738,2.4028,-0.2522,2.764,1.2849,1.3432,1.7845,2.0252,1.241,1.4331,0.8281,2.2575
G03,0.9278,0.6336,1.7447,2.2475,0.4658,1.2683,1.6799,1.728,0.7063,2.2686,0.749,1.9255,0.9529
HML,-0.9563,-1.8381*,-1.6689,-0.1901,-2.6584*,-2.6332***,-0.5188,-1.9177,-1.9022,-1.2889,-0.8451,-0.1508,-1.3096
t,-1.189,-2.0461,-1.4425,-0.2098,-2.0662,-4.6792,-0.7418,-1.0787,-1.8218,-0.9479,-1.8515,-0.229,-1.387
,,,,,,,,,,,,,
Alpha,-4.9629**,-2.4902,4.5385***,-4.7621***,1.2152,4.1266***,-1.0542,-0.4671,-5.7581***,1.6473,-1.0411,0.5385,1.0427
Alpha_t,-2.6489,-1.2437,6.1318,-4.0635,0.4053,5.5686,-1.4239,-0.282,-2.8353,0.836,-0.7733,0.2621,0.2867
