Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,2.2392,2.4589,3.0425,2.2157,2.8838,2.4962,2.4689,2.9556,2.46,2.771,2.7278,2.9738,2.824
G02,1.5075,1.9175,3.0157,0.6525,2.3529,1.7279,0.5721,2.8225,1.2727,2.0287,0.7752,1.1025,1.0679
G03,1.0556,1.5027,1.5029,1.5647,1.1173,2.2306,2.1808,1.38,1.6073,2.2674,0.8325,0.9045,1.581
HML,-1.1836,-0.9562,-1.5396,-0.651,-1.7666,-0.2656,-0.2882,-1.5756,-0.8526,-0.5036,-1.8954**,-2.0693,-1.243
t,-1.0797,-0.6717,-1.7848,-0.3349,-0.8797,-0.1381,-0.2343,-0.9709,-0.5759,-0.3831,-2.4685,-1.8893,-1.3303
,,,,,,,,,,,,,
Alpha,-1.8983,-3.2031,2.8926*,-0.4979,0.324,-2.4778,-3.0042,0.9419,-4.4975**,-5.0426***,-0.0303,-2.2958*,0.8944
Alpha_t,-0.9025,-1.1058,1.7798,-0.1841,0.0754,-0.7823,-1.1064,0.4945,-2.2438,-3.2394,-0.0504,-1.7768,0.4142
