Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.156,1.9635,2.0318,0.8024,2.1835,2.5816,2.3793,2.054,2.7049,3.004,1.4997,0.8702,1.6583
G02,2.1608,2.3214,3.5515,1.239,2.2858,1.8977,1.3113,1.8907,1.6586,2.0587,0.9214,1.3263,1.5782
G03,1.4854,1.5942,1.9778,2.3915,1.8847,1.9754,1.5311,3.2134,0.9764,2.0044,1.3551,2.6333,2.2365
HML,0.3293,-0.3693,-0.054,1.5891,-0.2988,-0.6062,-0.8482,1.1594,-1.7285*,-0.9996,-0.1445,1.7632,0.5782
t,0.206,-0.325,-0.0694,0.7488,-0.2414,-0.3489,-0.8914,0.8637,-2.1097,-0.8007,-0.1568,0.9359,0.6658
,,,,,,,,,,,,,
Alpha,-0.6956,4.1735***,2.417,1.0616,-5.5291***,4.3595**,2.746**,-1.959,0.5883,3.0525,-2.3202***,-0.1738,-2.6044**
Alpha_t,-0.232,4.6879,1.3121,0.3322,-3.7471,2.7487,2.8063,-1.0656,0.1539,0.857,-2.9177,-0.1285,-2.0788
