Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.3299,2.225,2.7305,1.6581,2.076,2.9206,2.2729,2.1574,2.2771,2.7139,0.8775,2.1636,2.2869
G02,2.1469,1.6743,3.0114,1.4673,2.1015,1.4327,1.0031,1.5464,1.3226,2.1948,0.8739,0.6913,1.1229
G03,1.3254,1.9798,1.8192,1.3074,2.1765,2.1014,1.9458,3.4542,1.7403,2.1584,2.0248,1.9749,2.0632
HML,-0.0045,-0.2452,-0.9113,-0.3507,0.1006,-0.8191,-0.3271,1.2968,-0.5368,-0.5555,1.1473,-0.1887,-0.2237
t,-0.0036,-0.2339,-0.8515,-0.2748,0.0586,-0.5013,-0.4024,0.865,-0.6069,-0.4762,1.7085,-0.3693,-0.1302
,,,,,,,,,,,,,
Alpha,2.7952,8.1388***,2.8115,-0.5851,-5.6702**,5.4637**,3.8986***,1.9539,5.9219***,2.2662,-0.088,-3.104,-5.7509**
Alpha_t,1.1374,7.2688,0.8021,-0.1564,-2.3946,2.5593,2.945,0.6324,3.3291,0.6013,-0.211,-1.6123,-2.2487
