Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.29,1.9183,2.1515,0.3154,2.2806,1.7274,2.0132,2.1425,2.1411,1.5067,0.7504,0.8175,1.8144
G02,1.8019,1.801,2.1307,1.8313,1.8614,2.752,1.3847,1.6113,1.6567,3.2852,1.5813,1.8,1.3983
G03,1.7104,2.1598,3.279,2.2862,2.212,1.9754,1.8239,3.4042,1.5421,2.2752,2.0039,2.3632,2.2603
HML,0.4204,0.2415,1.1275,1.9708,-0.0687,0.248,-0.1893,1.2617,-0.599,0.7685,1.2535,1.5456,0.446
t,0.2494,0.2308,0.897,1.0489,-0.064,0.265,-0.2338,1.1175,-0.8872,1.7577,0.8922,0.7947,0.541
,,,,,,,,,,,,,
Alpha,-0.1998,4.8021***,0.1198,3.5881*,-5.3334***,2.3235,3.9907**,-2.7225,1.6351,1.4967,-0.2847,-1.3803,-3.2347**
Alpha_t,-0.0698,4.1368,0.0329,1.8308,-3.7294,1.0138,2.2578,-1.3848,0.5102,0.9931,-0.1608,-0.7625,-2.3858
