Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.1097,1.9183,2.1515,0.7132,2.2806,1.7274,2.5297,2.1425,2.6598,2.03,1.515,1.9093,1.6341
G02,2.4801,2.1282,2.4579,1.1397,2.353,2.752,1.3661,1.9386,1.4654,2.7619,0.8167,0.7082,1.5786
G03,1.2125,1.8326,2.9517,2.5799,1.7204,1.9754,1.326,3.0769,1.2148,2.2752,2.0039,2.3632,2.2603
HML,0.1028,-0.0857,0.8002,1.8667,-0.5602,0.248,-1.2038,0.9344,-1.4449,0.2451,0.4889,0.4538,0.6263
t,0.0591,-0.0715,0.5406,0.9326,-0.4393,0.265,-1.1945,0.6862,-1.4122,0.4054,0.301,0.2051,0.7614
,,,,,,,,,,,,,
Alpha,0.0537,5.0633***,0.381,6.6537***,-6.1117***,2.3235,3.8065***,-2.4613,1.4781,1.9144,0.9876,0.1532,-3.3787**
Alpha_t,0.0175,4.9234,0.1064,7.2475,-4.0668,1.0138,3.4236,-1.1728,0.3711,1.0186,0.6926,0.0903,-2.682
