Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.3784,2.0127,2.7305,1.6581,1.9698,2.9206,2.6278,1.9292,2.2319,2.5826,1.9652,2.0324,2.25
G02,1.819,1.8165,2.9503,1.4447,2.1376,1.3716,0.754,1.9111,1.3677,2.1589,0.8092,1.085,1.2962
G03,1.6048,2.0499,1.8803,1.33,2.2466,2.1625,1.84,3.3178,1.7403,2.3255,1.5611,1.8634,1.9268
HML,0.2264,0.0372,-0.8502,-0.3281,0.2768,-0.758,-0.7878,1.3886,-0.4916,-0.2571,-0.4041,-0.169,-0.3233
t,0.164,0.0355,-0.7739,-0.26,0.1666,-0.4747,-0.8536,0.9502,-0.5424,-0.2844,-1.3507,-0.2883,-0.1908
,,,,,,,,,,,,,
Alpha,3.269**,8.2695***,3.0682,-0.4902,-5.884**,5.7204**,5.0265***,1.9355,5.8106***,3.9496,-3.0042*,-4.4609**,-5.9938**
Alpha_t,2.4135,5.3739,0.8835,-0.1324,-2.4592,2.774,5.0675,0.5563,3.3553,1.1375,-1.8658,-2.6593,-2.3611
