Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.6299,0.8675,2.1068,0.5009,0.7659,1.3233,-0.0611,1.224,-0.3454,1.5091,0.8088,1.0846,1.5007
G02,1.0013,2.9714,2.566,2.1495,3.3508,1.9289,3.0475,2.3221,3.2066,2.5423,1.5658,1.9579,1.4581
G03,2.171,2.0403,2.8883,1.7825,2.2374,3.2025,2.2354,3.6119,2.4787,3.0156,1.961,1.9382,2.5141
HML,0.5411,1.1728,0.7815,1.2816,1.4715,1.8792**,2.2965*,2.3879*,2.8241***,1.5065,1.1522*,0.8536,1.0134
t,0.8005,0.877,0.668,1.3001,1.4661,2.4547,2.2703,2.317,4.3352,1.4849,2.0741,0.8209,0.7302
,,,,,,,,,,,,,
Alpha,0.5992,-0.4201,-1.5084,0.9495,-2.0983,-3.3166,2.7692,-2.7649***,1.2472,-2.508**,-0.7186,-0.618,-3.4747*
Alpha_t,0.2085,-0.1175,-0.6554,0.279,-1.2482,-0.8416,1.4494,-2.8874,0.4564,-2.6663,-0.3112,-0.2275,-2.0437
