Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.1139,1.818,1.8669,0.0308,2.2806,1.7274,2.0617,2.0422,2.3633,1.8339,0.7504,0.8175,1.3894
G02,1.8702,2.2286,2.7426,2.1159,2.1887,2.752,1.3905,1.9025,1.7619,3.1183,0.8712,0.9297,1.8471
G03,1.8181,1.8326,2.9517,2.2862,1.8847,1.9754,1.7695,3.2134,1.2148,2.1149,2.7139,3.2335,2.2365
HML,0.7042,0.0146,1.0849,2.2554,-0.3959,0.248,-0.2922,1.1712,-1.1484,0.281,1.9635,2.416,0.8471
t,0.5616,0.0123,0.8442,1.2335,-0.307,0.265,-0.3076,0.8428,-1.2941,0.4805,1.729,1.4512,0.6721
,,,,,,,,,,,,,
Alpha,1.5628,4.7597***,0.1538,3.3609*,-5.0722***,2.3235,3.4935**,-2.192,1.0179,1.8858,-0.9171,-2.1406,-3.5666***
Alpha_t,0.6968,5.3786,0.0424,1.8141,-3.3036,1.0138,2.1336,-1.265,0.2434,1.0178,-0.4093,-0.9736,-3.1261
