Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.8565,1.1265,2.3607,1.1874,0.5134,1.7096,0.8263,1.963,0.3659,2.541,1.5769,2.4297,0.2492
G02,1.5678,2.627,2.1603,1.6639,3.5279,1.3428,2.0948,2.9251,2.6132,2.0203,0.8805,0.9706,2.2816
G03,1.378,2.1256,3.0402,1.5816,2.3127,3.4023,2.3007,2.2699,2.3608,2.5058,1.8781,1.5804,2.9422
HML,-0.4785,0.9991,0.6795,0.3941,1.7993**,1.6927,1.4744,0.3068,1.9949***,-0.0352,0.3012,-0.8493,2.6929**
t,-0.9099,0.8365,0.4841,0.2664,3.1531,1.3931,1.4113,0.2688,3.9499,-0.0216,0.3746,-0.6793,2.8605
,,,,,,,,,,,,,
Alpha,0.0493,-1.5275,-2.0743,-1.5596,2.8655*,-5.4218***,-3.0441*,1.126*,2.6361,-2.7079*,-3.2159,-1.9651,1.2663
Alpha_t,0.0234,-1.5707,-1.5681,-0.5214,1.7807,-5.0545,-1.8908,1.7302,0.8613,-1.7934,-1.2465,-1.1633,0.3913
