Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.3739,2.969,2.9688,2.157,3.1242,3.4085,2.696,3.4232,2.5609,3.0974,1.6009,1.9543,2.1591
G02,2.5777,2.2438,2.7776,0.1461,2.7539,1.7078,1.0936,2.0216,2.0276,1.9465,1.3219,1.6137,2.3276
G03,0.8507,0.6663,1.8148,2.1297,0.4759,1.3383,1.4321,1.7132,0.7515,2.0232,1.4127,1.4127,0.9863
HML,-0.5232,-2.3027**,-1.154,-0.0273,-2.6483*,-2.0702***,-1.2638,-1.71,-1.8094,-1.0743,-0.1883,-0.5417,-1.1728
t,-0.6831,-2.7243,-1.1685,-0.0314,-2.0703,-3.7384,-1.886,-1.0399,-1.7524,-0.8129,-0.3041,-0.7956,-1.2757
,,,,,,,,,,,,,
Alpha,-3.1054,-5.2545**,5.0038***,-4.8866***,1.2966,4.8963***,-3.3678***,0.8473,-6.5266***,1.3972,1.5392,0.1752,1.5284
Alpha_t,-1.6477,-2.1844,5.3113,-3.3796,0.4295,6.0982,-4.1636,0.4944,-3.5092,0.6457,1.004,0.086,0.4151
