Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,2.2505,2.2859,2.9461,1.919,2.3368,2.5441,2.4945,2.5187,2.338,3.1417,1.3267,3.1484,2.7361
G02,0.7892,1.8311,2.7958,0.9601,1.7706,1.8091,0.7815,1.473,1.5495,1.5206,0.5917,-0.2936,0.5496
G03,1.7626,1.7621,1.8192,1.5538,2.2466,2.1014,1.9458,3.1664,1.4525,2.4048,1.8578,1.9749,2.1872
HML,-0.4879,-0.5237,-1.1269,-0.3652,-0.0902,-0.4427,-0.5488,0.6478,-0.8854,-0.737,0.5311,-1.1735,-0.5489
t,-0.8,-0.3811,-1.0543,-0.2499,-0.0507,-0.2454,-0.4628,0.3903,-0.7468,-0.738,0.5644,-1.6639,-0.4125
,,,,,,,,,,,,,
Alpha,1.0456,8.0349***,2.4272,-0.1126,-5.5179**,5.1632**,5.0201***,0.6447,5.8739**,2.872,1.1513**,-1.3303,-5.02
Alpha_t,0.9152,3.942,0.7964,-0.027,-2.2387,2.2939,3.3128,0.192,2.5548,0.7063,2.107,-0.5499,-1.5696
