Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.156,1.779,1.8924,1.2002,2.0215,2.8186,2.5782,1.9146,2.5204,3.004,1.8975,1.268,1.6954
G02,2.1608,2.506,3.6909,0.9465,2.4478,1.8977,1.1124,2.0301,1.8431,2.1866,0.5236,0.9285,1.4017
G03,1.4854,1.5942,1.9778,2.2862,1.8847,1.7383,1.5311,3.2134,0.9764,1.8765,1.3551,2.6333,2.3759
HML,0.3293,-0.1848,0.0854,1.086,-0.1368,-1.0803,-1.0471,1.2988,-1.5439*,-1.1275,-0.5423,1.3654,0.6805
t,0.206,-0.1732,0.1268,0.4749,-0.1184,-0.6742,-1.2506,1.0462,-2.0433,-0.9422,-0.4986,0.6511,0.81
,,,,,,,,,,,,,
Alpha,-0.6956,3.9511***,2.3058,2.5229,-5.5455***,4.7379***,1.9109***,-2.0703,0.3658,3.4394,-1.3407,0.8057,-2.9502**
Alpha_t,-0.232,4.1065,1.2415,0.8034,-3.9832,2.8934,3.0252,-1.1582,0.0986,1.0315,-1.0186,0.7044,-2.5473
