Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,0.9394,2.2646,2.1515,1.0896,2.0119,2.5441,2.15,1.6762,2.1154,2.2633,0.8733,0.9405,1.0813
G02,2.0645,0.8422,3.1046,1.0571,1.5707,2.0793,0.8644,2.0687,1.1302,2.0182,1.0531,1.4892,1.8844
G03,1.7983,2.7723,2.3051,2.2862,2.7714,1.8312,2.2073,3.4131,2.0944,2.7856,2.409,2.551,2.5073
HML,0.8589,0.5077,0.1535,1.1966,0.7595,-0.7129,0.0573,1.7369,-0.021,0.5223,1.5357,1.6105,1.4261
t,0.6943,0.5192,0.2584,0.5034,0.6808,-0.3972,0.0783,1.3317,-0.0272,0.3787,1.3261,1.0418,1.1926
,,,,,,,,,,,,,
Alpha,-0.342,3.7712**,2.5179,2.6415,-4.0702***,4.3516*,2.6344***,-0.4439,1.3123,3.6805,0.6989,-0.6298,-2.6277**
Alpha_t,-0.1847,2.0994,1.1491,0.8015,-2.8962,1.9014,2.9194,-0.1906,0.6141,1.6432,0.3875,-0.3752,-2.2395
