Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.4952,1.9183,2.0318,0.7132,2.1609,1.6077,2.5297,2.3204,2.5151,2.03,1.5555,1.7896,1.6341
G02,2.0946,2.4591,2.5776,1.9896,3.0248,3.2026,1.3661,2.1462,1.9955,2.9221,1.107,1.1588,1.7389
G03,1.2125,1.5017,2.9517,1.73,1.1683,1.6444,1.326,2.6914,0.8293,2.1149,1.6729,2.0322,2.1001
HML,-0.2827,-0.4167,0.9199,1.0168,-0.9926,0.0368,-1.2038,0.371,-1.6858,0.0848,0.1174,0.2426,0.466
t,-0.2018,-0.2998,0.6496,0.5723,-0.6806,0.0388,-1.1945,0.2828,-1.7007,0.121,0.0684,0.1045,0.5663
,,,,,,,,,,,,,
Alpha,-0.3598,5.3275***,0.019,4.2903***,-5.5836***,2.2256,3.8065***,-2.3368,2.1774,2.0424,1.0176,0.0553,-3.2507**
Alpha_t,-0.1417,5.5278,0.0058,2.8983,-3.9693,1.1144,3.4236,-1.1121,0.7006,1.021,0.6977,0.0307,-2.4176
