Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.156,1.9635,1.8669,0.5177,2.3032,2.7013,1.8814,2.054,2.5088,2.8078,0.3593,0.9899,1.6583
G02,1.6629,2.083,3.7165,1.6515,2.1661,1.778,1.5708,1.8907,1.6163,2.1443,1.8657,1.2066,1.5782
G03,1.9833,1.8326,1.9778,2.2636,1.8847,1.9754,1.7695,3.2134,1.2148,2.1149,1.5512,2.6333,2.2365
HML,0.8272,-0.1309,0.1109,1.7459,-0.4185,-0.7259,-0.1119,1.1594,-1.294,-0.6929,1.192,1.6435,0.5782
t,0.5555,-0.1091,0.1779,0.8495,-0.3278,-0.4318,-0.1279,0.8637,-1.4555,-0.6569,0.9712,0.8965,0.6658
,,,,,,,,,,,,,
Alpha,-1.0931,5.1746***,2.5519,1.2213,-5.167***,4.7216***,3.3496*,-1.959,1.4328,4.2839,-4.1838***,0.1883,-2.6044**
Alpha_t,-0.41,5.2824,1.1697,0.3833,-3.3193,2.8207,1.9719,-1.0656,0.3593,1.4799,-3.0929,0.1198,-2.0788
