Group,BM,ME,REV,IVOL,ILLIQ,MAX,MIN,CSK,CKT,RSJ,beta,Beta_neg,disconBeta
G01,1.9677,1.9033,2.1515,1.0202,1.751,2.5441,1.9511,1.315,2.0767,2.0314,0.3958,0.9405,1.9533
G02,1.6331,2.12,3.4318,1.1265,2.1588,2.0793,1.3905,2.7572,1.4961,2.2501,1.7222,1.0914,1.0123
G03,1.2015,1.8558,1.9778,2.2862,2.4442,1.8312,1.8801,3.0859,1.7671,2.7856,2.2176,2.9488,2.5073
HML,-0.7662,-0.0475,-0.1737,1.266,0.6931,-0.7129,-0.0711,1.7709,-0.3096,0.7541,1.8218,2.0083,0.554
t,-1.2638,-0.0562,-0.2089,0.7541,0.5977,-0.3972,-0.0713,1.3385,-0.3338,0.6306,1.6298,1.438,0.3041
,,,,,,,,,,,,,
Alpha,2.9946***,2.8885,2.7791,0.8217,-4.0172***,4.3516*,3.7307**,-0.6945,0.4869,4.9857**,-2.3572,-1.6093,-4.1862
Alpha_t,3.9944,1.2642,1.3024,0.3266,-2.8282,1.9014,2.8044,-0.329,0.1665,2.1848,-1.1563,-0.7406,-1.476
