Group_Square,CSK_G01,CSK_G03,AvgRet,Alpha
Square_G01,2.8201,2.3003,2.3204,-1.1976
Square_G02,2.9698,1.0512,2.1462,1.4792
Square_G03,2.9243,1.5431,2.6914,-3.5344
HML,0.1042,-0.7572,0.371,-2.3368
t,0.056,-0.4778,0.2828,-1.1121
p,0.9569,0.6577,0.7855,0.2781
