Group_Square,MAX_G01,MAX_G03,AvgRet,Alpha
Square_G01,2.1832,1.6303,1.6077,-1.7558
Square_G02,2.5042,3.0362,3.2026,-5.5369
Square_G03,1.7308,1.593,1.6444,0.4698
HML,-0.4524,-0.0373,0.0368,2.2256
t,-0.2953,-0.0319,0.0388,1.1144
p,0.7763,0.9761,0.9701,0.2771
