Group_AutoCorr,REV_G01,REV_G03,AvgRet,Alpha
AutoCorr_G01,2.5803,0.8217,1.8392,0.3269
AutoCorr_G02,3.1219,0.6979,2.6729,-3.2493
AutoCorr_G03,2.5931,4.3975,3.0491,1.3943
HML,0.0129,3.5758,1.2099,1.0673
t,0.033,3.5059,2.0559,1.7474
p,0.9746,0.0248,0.0788,0.0945
