Group_BQ100,IVOL_G01,IVOL_G03,AvgRet,Alpha
BQ100_G01,0.9052,2.3054,1.6581,1.1214
BQ100_G02,2.1989,0.8717,1.4447,0.1478
BQ100_G03,1.235,2.6874,1.33,0.6312
HML,0.3299,0.382,-0.3281,-0.4902
t,0.3014,0.1322,-0.26,-0.1324
p,0.7719,0.9012,0.8023,0.8959
