Group_AutoCorr,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
AutoCorr_G01,1.3003,2.0307,1.2461,-4.4664
AutoCorr_G02,3.6855,1.8448,3.3737,-1.8566
AutoCorr_G03,0.1744,2.4366,0.8532,-3.5107
HML,-1.1259,0.4059,-0.393,0.9558
t,-0.768,0.6997,-0.4628,0.4429
p,0.4676,0.5227,0.6576,0.6622
