Group_Square,beta_G01,beta_G03,AvgRet,Alpha
Square_G01,2.4766,0.5248,1.5555,-2.3512
Square_G02,1.9174,0.4408,1.107,1.059
Square_G03,2.582,0.2701,1.6729,-1.3336
HML,0.1055,-0.2547,0.1174,1.0176
t,0.0734,-0.1308,0.0684,0.6977
p,0.9435,0.9022,0.9474,0.4927
