Group_Square,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
Square_G01,2.1314,2.939,2.1609,-0.4894
Square_G02,2.823,3.75,3.0248,0.8659
Square_G03,1.8032,0.3548,1.1683,-6.073
HML,-0.3281,-2.5841,-0.9927,-5.5836
t,-0.2115,-2.7243,-0.6806,-3.9693
p,0.8385,0.0528,0.518,0.0006
