Group_AutoCorr,CKT_G01,CKT_G03,AvgRet,Alpha
AutoCorr_G01,1.184,0.5789,0.2516,0.3277
AutoCorr_G02,3.016,3.8805,3.0479,1.6105
AutoCorr_G03,1.9341,3.0989,2.0405,-3.8531
HML,0.7501,2.52,1.7889,-4.1809
t,0.7148,1.2665,2.1203,-3.1211
p,0.4979,0.2741,0.0717,0.005
