Group_Beta_abs_intra,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.824,0.6807,2.1591,-5.3907
Beta_abs_intra_G02,1.2041,3.3904,2.3276,-0.5807
Beta_abs_intra_G03,1.1322,2.241,0.9863,-3.8623
HML,-1.6918,1.5603,-1.1728,1.5284
t,-2.1919,2.8749,-1.2757,0.4151
p,0.0645,0.0452,0.2428,0.6821
