Group_BQ100,CKT_G01,CKT_G03,AvgRet,Alpha
BQ100_G01,2.9842,2.1034,2.2319,-2.1271
BQ100_G02,1.9659,0.112,1.3677,-3.4712
BQ100_G03,1.184,5.3429,1.7403,3.6835
HML,-1.8003,3.2394,-0.4916,5.8106
t,-2.188,1.3728,-0.5424,3.3553
p,0.0649,0.2418,0.6044,0.0029
