Group_Beta_abs_intra,REV_G01,REV_G03,AvgRet,Alpha
Beta_abs_intra_G01,3.4821,1.4352,2.9688,-3.248
Beta_abs_intra_G02,1.993,4.3975,2.7776,-0.0358
Beta_abs_intra_G03,2.8203,0.0845,1.8148,1.7557
HML,-0.6618,-1.3507,-1.154,5.0038
t,-0.6557,-0.9166,-1.1685,5.3113
p,0.533,0.4112,0.2808,0.0
