Group_Square,IVOL_G01,IVOL_G03,AvgRet,Alpha
Square_G01,0.4714,1.5044,0.7132,-2.8163
Square_G02,1.9299,2.3989,1.9896,3.2428
Square_G03,1.9377,1.9613,1.73,1.4739
HML,1.4663,0.4569,1.0168,4.2903
t,0.588,0.612,0.5723,2.8983
p,0.575,0.5736,0.585,0.0083
