Group_BQ100,BM_G01,BM_G03,AvgRet,Alpha
BQ100_G01,1.7463,0.8368,1.3784,-2.8138
BQ100_G02,1.0973,3.9465,1.819,1.693
BQ100_G03,1.3468,3.1206,1.6048,0.4552
HML,-0.3995,2.2838,0.2264,3.269
t,-0.208,3.2966,0.164,2.4135
p,0.8411,0.03,0.8744,0.0246
