Group_AutoCorr,ME_G01,ME_G03,AvgRet,Alpha
AutoCorr_G01,1.8027,2.2434,1.5587,3.5765
AutoCorr_G02,2.1995,1.9315,2.0305,0.7766
AutoCorr_G03,1.9376,2.6955,2.29,-2.8194
HML,0.1349,0.4521,0.7313,-6.3959
t,0.0927,0.2521,0.7049,-3.0982
p,0.9287,0.8134,0.5037,0.0052
