Group_Beta_abs_intra,RSJ_G01,RSJ_G03,AvgRet,Alpha
Beta_abs_intra_G01,4.3683,0.429,3.0974,-2.5263
Beta_abs_intra_G02,2.2156,1.3041,1.9465,-0.6359
Beta_abs_intra_G03,1.9508,1.8143,2.0232,-1.1291
HML,-2.4175,1.3853,-1.0743,1.3972
t,-1.7092,0.9155,-0.8129,0.6457
p,0.1312,0.4117,0.443,0.5251
