Group_BQ100,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
BQ100_G01,2.654,1.6533,2.25,-0.6789
BQ100_G02,0.5558,2.5252,1.2962,-2.482
BQ100_G03,1.9505,2.1336,1.9268,-6.6728
HML,-0.7035,0.4803,-0.3233,-5.9938
t,-0.3675,0.3735,-0.1908,-2.3611
p,0.7241,0.7277,0.8541,0.0275
