Group_Beta_abs_intra,MAX_G01,MAX_G03,AvgRet,Alpha
Beta_abs_intra_G01,3.8562,2.2437,3.4085,-4.4452
Beta_abs_intra_G02,1.7146,2.5488,1.7078,-2.8288
Beta_abs_intra_G03,0.8474,1.467,1.3383,0.4511
HML,-3.0089,-0.7767,-2.0702,4.8963
t,-2.5337,-0.8477,-3.7384,6.0982
p,0.039,0.4443,0.0073,0.0
