Group_Square,CKT_G01,CKT_G03,AvgRet,Alpha
Square_G01,3.5075,1.4917,2.4636,-0.5112
Square_G02,1.0475,3.3648,1.5662,-2.148
Square_G03,1.5792,2.7018,1.3102,0.7444
HML,-1.9283,1.2101,-1.1535,1.2556
t,-1.4395,0.7845,-0.9069,0.4568
p,0.1932,0.4766,0.3946,0.6523
