Group_Square,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
Square_G01,1.901,-0.3603,0.7923,-0.7816
Square_G02,0.5344,2.2493,0.955,-0.7605
Square_G03,2.9234,3.6827,3.0825,-0.8698
HML,1.0225,4.043,2.2902,-0.0882
t,0.922,1.5186,1.403,-0.0469
p,0.3872,0.2035,0.2034,0.963
