Group_Beta_abs_intra,CKT_G01,CKT_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.7402,5.3429,2.6085,1.7012
Beta_abs_intra_G02,3.3115,0.5789,2.0252,0.4409
Beta_abs_intra_G03,1.0824,1.6365,0.7063,-4.0569
HML,-0.6578,-3.7063,-1.9022,-5.7581
t,-0.3447,-1.4297,-1.8218,-2.8353
p,0.7405,0.226,0.1113,0.0096
