Group_BQ100,beta_G01,beta_G03,AvgRet,Alpha
BQ100_G01,1.8496,0.6235,1.0483,-0.4446
BQ100_G02,1.8616,0.8376,1.3841,-0.3922
BQ100_G03,2.1575,0.5755,1.3439,-4.087
HML,0.3079,-0.048,0.2956,-3.6424
t,0.5325,-0.0399,0.4437,-1.9271
p,0.6109,0.9701,0.6707,0.067
