Group_BQ100,REV_G01,REV_G03,AvgRet,Alpha
BQ100_G01,2.6225,2.348,2.1515,-0.7546
BQ100_G02,2.6824,3.4847,3.4318,-2.7979
BQ100_G03,2.9904,0.0845,1.9778,2.0244
HML,0.368,-2.2635,-0.1737,2.7791
t,0.5439,-2.1668,-0.2089,1.3024
p,0.6034,0.0962,0.8405,0.2063
