Group_Beta_abs_intra,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.8606,3.1662,2.0762,-0.5423
Beta_abs_intra_G02,1.1024,0.8625,0.8281,-1.8658
Beta_abs_intra_G03,2.3958,1.543,1.9255,-0.0038
HML,0.5352,-1.6232,-0.1508,0.5385
t,0.4896,-0.6503,-0.229,0.2621
p,0.6394,0.551,0.8254,0.7957
