Group_Square,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
Square_G01,2.3708,2.939,2.2806,-0.8515
Square_G02,1.9218,1.8841,1.9911,0.249
Square_G03,2.4651,2.2207,2.0823,-5.094
HML,0.0943,-0.7183,-0.1983,-4.2425
t,0.0742,-0.4582,-0.1405,-2.9143
p,0.9429,0.6706,0.8922,0.008
